pivot_time,pivot_price,pivot_type,structure,leg_return_pct,leg_bars,leg_duration_sec
2024-10-01 08:04:00+00:00,67.58,low,HL,-0.14775413711585195,3,180.0
2024-10-01 08:05:00+00:00,67.6,high,LH,0.029594554601941603,1,60.0
2024-10-01 08:06:00+00:00,67.51,low,LL,-0.13313609467453524,1,60.0
2024-10-01 08:09:00+00:00,67.79,high,HH,0.41475336987113476,3,180.0
2024-10-01 08:10:00+00:00,67.75,low,HL,-0.059005753060936694,1,60.0
2024-10-01 08:11:00+00:00,67.8,high,HH,0.07380073800737907,1,60.0
2024-10-01 08:14:00+00:00,67.68,low,LL,-0.1769911504424626,3,180.0
2024-10-01 08:15:00+00:00,67.76,high,LH,0.11820330969267712,1,60.0
2024-10-01 08:17:00+00:00,67.6,low,LL,-0.23612750885479983,2,120.0
2024-10-01 08:18:00+00:00,67.71,high,LH,0.16272189349111343,1,60.0
2024-10-01 08:19:00+00:00,67.54,low,LL,-0.25107074287400444,1,60.0
2024-10-01 08:20:00+00:00,67.61,high,LH,0.10364228605270753,1,60.0
2024-10-01 08:22:00+00:00,67.5,low,LL,-0.16269782576542324,2,120.0
2024-10-01 08:23:00+00:00,67.54,high,LH,0.05925925925927,1,60.0
2024-10-01 08:26:00+00:00,67.31,low,LL,-0.3405389398874803,3,180.0
2024-10-01 08:27:00+00:00,67.43,high,LH,0.1782796018422239,1,60.0
2024-10-01 08:29:00+00:00,67.41,low,HL,-0.029660388551100425,2,120.0
2024-10-01 08:30:00+00:00,67.48,high,HH,0.10384215991694479,1,60.0
2024-10-01 08:31:00+00:00,67.34,low,LL,-0.20746887966804906,1,60.0
2024-10-01 08:32:00+00:00,67.42,high,LH,0.11880011880012198,1,60.0
2024-10-01 08:35:00+00:00,67.31,low,LL,-0.1631563334322128,3,180.0
2024-10-01 08:36:00+00:00,67.42,high,LH,0.16342296835536452,1,60.0
2024-10-01 08:37:00+00:00,67.38,low,HL,-0.05932957579354303,1,60.0
2024-10-01 08:38:00+00:00,67.45,high,HH,0.10388839418224993,1,60.0
2024-10-01 08:41:00+00:00,67.23,low,LL,-0.32616753150481737,3,180.0
2024-10-01 08:42:00+00:00,67.24,high,LH,0.014874312063062334,1,60.0
2024-10-01 08:43:00+00:00,67.14,low,LL,-0.1487209994051053,1,60.0
2024-10-01 08:45:00+00:00,67.27,high,HH,0.19362526064938823,2,120.0
2024-10-01 08:47:00+00:00,67.22,low,HL,-0.07432733759475951,2,120.0
2024-10-01 08:51:00+00:00,67.42,high,HH,0.2975304968759307,4,240.0
2024-10-01 08:52:00+00:00,67.29,low,HL,-0.19282112132897877,1,60.0
2024-10-01 08:53:00+00:00,67.29,high,LH,0.0,1,60.0
2024-10-01 08:54:00+00:00,67.16,low,LL,-0.19319363947095658,1,60.0
2024-10-01 08:58:00+00:00,67.31,high,HH,0.2233472304943529,4,240.0
2024-10-01 09:00:00+00:00,67.05,low,LL,-0.3862724706581555,2,120.0
2024-10-01 09:01:00+00:00,67.34,high,HH,0.4325130499627239,1,60.0
2024-10-01 09:03:00+00:00,67.18,low,HL,-0.23760023760023286,2,120.0
2024-10-01 09:04:00+00:00,67.36,high,HH,0.2679368859779485,1,60.0
2024-10-01 09:05:00+00:00,67.22,low,HL,-0.20783847980997416,1,60.0
2024-10-01 09:06:00+00:00,67.26,high,LH,0.05950609937519502,1,60.0
2024-10-01 09:07:00+00:00,67.2,low,LL,-0.0892060660124927,1,60.0
2024-10-01 09:08:00+00:00,67.41,high,HH,0.31249999999998224,1,60.0
2024-10-01 09:09:00+00:00,67.28,low,HL,-0.1928497255599959,1,60.0
2024-10-01 09:10:00+00:00,67.43,high,HH,0.2229488703924032,1,60.0
2024-10-01 09:11:00+00:00,67.33,low,HL,-0.14830194275545772,1,60.0
2024-10-01 09:12:00+00:00,67.39,high,LH,0.08911332244170289,1,60.0
2024-10-01 09:13:00+00:00,67.23,low,LL,-0.23742395014096918,1,60.0
2024-10-01 09:14:00+00:00,67.38,high,LH,0.22311468094600162,1,60.0
2024-10-01 09:15:00+00:00,67.25,low,HL,-0.1929355891955975,1,60.0
2024-10-01 09:16:00+00:00,67.26,high,LH,0.014869888475854687,1,60.0
2024-10-01 09:17:00+00:00,67.06,low,LL,-0.29735355337496827,1,60.0
2024-10-01 09:18:00+00:00,67.23,high,LH,0.25350432448554283,1,60.0
2024-10-01 09:19:00+00:00,67.17,low,HL,-0.08924587237840731,1,60.0
2024-10-01 09:20:00+00:00,67.31,high,HH,0.2084263808247666,1,60.0
2024-10-01 09:21:00+00:00,67.27,low,HL,-0.05942653394741537,1,60.0
2024-10-01 09:22:00+00:00,67.67,high,HH,0.5946187007581427,1,60.0
2024-10-01 09:23:00+00:00,67.55,low,HL,-0.17733116595242127,1,60.0
2024-10-01 09:24:00+00:00,67.61,high,LH,0.0888230940044421,1,60.0
2024-10-01 09:25:00+00:00,67.57,low,HL,-0.059162845732885216,1,60.0
2024-10-01 09:26:00+00:00,67.74,high,HH,0.2515909427260654,1,60.0
2024-10-01 09:27:00+00:00,67.65,low,HL,-0.13286093888394968,1,60.0
2024-10-01 09:30:00+00:00,67.72,high,LH,0.10347376201034209,3,180.0
2024-10-01 09:31:00+00:00,67.59,low,LL,-0.1919669226225551,1,60.0
2024-10-01 09:32:00+00:00,68.18,high,HH,0.8729101938156569,1,60.0
2024-10-01 09:33:00+00:00,68.01,low,HL,-0.24933998239953237,1,60.0
2024-10-01 09:34:00+00:00,68.86,high,HH,1.2498162034994875,1,60.0
2024-10-01 09:35:00+00:00,68.45,low,HL,-0.5954109787975503,1,60.0
2024-10-01 09:36:00+00:00,69.53,high,HH,1.577794010226441,1,60.0
2024-10-01 09:37:00+00:00,69.03,low,HL,-0.7191140514885674,1,60.0
2024-10-01 09:38:00+00:00,69.24,high,LH,0.3042155584528361,1,60.0
2024-10-01 09:39:00+00:00,68.83,low,LL,-0.5921432697862494,1,60.0
2024-10-01 09:40:00+00:00,69.54,high,HH,1.0315269504576507,1,60.0
2024-10-01 09:41:00+00:00,69.31,low,HL,-0.3307448950244485,1,60.0
2024-10-01 09:42:00+00:00,69.74,high,HH,0.6204010965228601,1,60.0
2024-10-01 09:43:00+00:00,69.29,low,LL,-0.6452537998279162,1,60.0
2024-10-01 09:44:00+00:00,69.61,high,LH,0.4618271034781296,1,60.0
2024-10-01 09:45:00+00:00,69.26,low,LL,-0.5028013216491822,1,60.0
2024-10-01 09:46:00+00:00,69.62,high,HH,0.5197805371065511,1,60.0
2024-10-01 09:47:00+00:00,69.58,low,HL,-0.05745475438093672,1,60.0
2024-10-01 09:48:00+00:00,69.83,high,HH,0.3592986490370764,1,60.0
2024-10-01 09:49:00+00:00,69.57,low,LL,-0.3723328082486099,1,60.0
2024-10-01 09:50:00+00:00,69.98,high,HH,0.589334483254289,1,60.0
2024-10-01 09:51:00+00:00,69.89,low,HL,-0.1286081737639333,1,60.0
2024-10-01 09:52:00+00:00,70.1,high,HH,0.30047217055371167,1,60.0
2024-10-01 09:53:00+00:00,70.03,low,HL,-0.09985734664763601,1,60.0
2024-10-01 09:54:00+00:00,70.47,high,HH,0.628302156218763,1,60.0
2024-10-01 09:55:00+00:00,70.23,low,HL,-0.3405704555129785,1,60.0
2024-10-01 09:56:00+00:00,70.38,high,LH,0.21358393848780466,1,60.0
2024-10-01 09:57:00+00:00,70.22,low,LL,-0.22733731173628646,1,60.0
2024-10-01 09:58:00+00:00,70.31,high,LH,0.12816861293079018,1,60.0
2024-10-01 09:59:00+00:00,70.05,low,LL,-0.3697909258995935,1,60.0
2024-10-01 10:00:00+00:00,70.22,high,LH,0.2426837972876461,1,60.0
2024-10-01 10:01:00+00:00,70.06,low,HL,-0.22785531187695662,1,60.0
2024-10-01 10:02:00+00:00,70.41,high,HH,0.4995717956037593,1,60.0
2024-10-01 10:03:00+00:00,70.33,low,HL,-0.11362022439994623,1,60.0
2024-10-01 10:04:00+00:00,70.48,high,HH,0.21328025024882624,1,60.0
2024-10-01 10:05:00+00:00,70.15,low,LL,-0.46821793416571555,1,60.0
2024-10-01 10:06:00+00:00,70.25,high,LH,0.14255167498218313,1,60.0
2024-10-01 10:07:00+00:00,70.08,low,LL,-0.2419928825622808,1,60.0
2024-10-01 10:08:00+00:00,70.42,high,HH,0.4851598173515992,1,60.0
2024-10-01 10:09:00+00:00,70.14,low,HL,-0.3976143141153132,1,60.0
2024-10-01 10:10:00+00:00,70.21,high,LH,0.09980039920158834,1,60.0
2024-10-01 10:11:00+00:00,70.18,low,HL,-0.04272895598915749,1,60.0
2024-10-01 10:12:00+00:00,70.32,high,HH,0.1994870333428045,1,60.0
2024-10-01 10:13:00+00:00,69.76,low,LL,-0.796359499431154,1,60.0
2024-10-01 10:14:00+00:00,70.06,high,LH,0.4300458715596367,1,60.0
2024-10-01 10:15:00+00:00,69.77,low,HL,-0.41393091635741897,1,60.0
2024-10-01 10:16:00+00:00,69.89,high,LH,0.17199369356457606,1,60.0
2024-10-01 10:17:00+00:00,69.81,low,HL,-0.11446558878237534,1,60.0
2024-10-01 10:18:00+00:00,69.95,high,HH,0.2005443346225544,1,60.0
2024-10-01 10:19:00+00:00,69.83,low,HL,-0.17155110793424244,1,60.0
2024-10-01 10:20:00+00:00,70.01,high,HH,0.2577688672490419,1,60.0
2024-10-01 10:21:00+00:00,69.84,low,HL,-0.24282245393515423,1,60.0
2024-10-01 10:22:00+00:00,70.27,high,HH,0.6156930126002269,1,60.0
2024-10-01 10:23:00+00:00,70.14,low,HL,-0.18500071154119446,1,60.0
2024-10-01 10:24:00+00:00,70.19,high,LH,0.07128599942971547,1,60.0
2024-10-01 10:25:00+00:00,69.95,low,LL,-0.3419290497221783,1,60.0
2024-10-01 10:26:00+00:00,70.16,high,LH,0.30021443888490484,1,60.0
2024-10-01 10:27:00+00:00,70.06,low,HL,-0.14253135689851204,1,60.0
2024-10-01 10:28:00+00:00,70.25,high,HH,0.2711961176134814,1,60.0
2024-10-01 10:29:00+00:00,70.19,low,HL,-0.0854092526690442,1,60.0
2024-10-01 10:30:00+00:00,70.35,high,HH,0.22795269981479294,1,60.0
2024-10-01 10:31:00+00:00,70.15,low,LL,-0.2842928216062357,1,60.0
2024-10-01 10:32:00+00:00,70.44,high,HH,0.41339985744830443,1,60.0
2024-10-01 10:33:00+00:00,70.2,low,HL,-0.34071550255535543,1,60.0
2024-10-01 10:34:00+00:00,70.54,high,HH,0.4843304843304974,1,60.0
2024-10-01 10:35:00+00:00,70.3,low,HL,-0.34023249220301865,1,60.0
2024-10-01 10:36:00+00:00,70.41,high,LH,0.15647226173542972,1,60.0
2024-10-01 10:37:00+00:00,70.33,low,HL,-0.11362022439994623,1,60.0
2024-10-01 10:38:00+00:00,70.42,high,HH,0.12796815014930463,1,60.0
2024-10-01 10:39:00+00:00,70.18,low,LL,-0.34081226924168595,1,60.0
2024-10-01 10:40:00+00:00,70.27,high,LH,0.12824166429179495,1,60.0
2024-10-01 10:42:00+00:00,70.09,low,LL,-0.25615483136472994,2,120.0
2024-10-01 10:43:00+00:00,70.25,high,LH,0.2282779283777847,1,60.0
2024-10-01 10:44:00+00:00,70.1,low,HL,-0.2135231316726105,1,60.0
2024-10-01 10:45:00+00:00,70.23,high,LH,0.18544935805993035,1,60.0
2024-10-01 10:46:00+00:00,70.14,low,HL,-0.128150363092705,1,60.0
2024-10-01 10:47:00+00:00,70.25,high,HH,0.15682919874535628,1,60.0
2024-10-01 10:48:00+00:00,70.1,low,LL,-0.2135231316726105,1,60.0
2024-10-01 10:49:00+00:00,70.24,high,LH,0.19971469329529423,1,60.0
