timeframe,leg_id,start_ts,end_ts,bin_size,lvn_price,lvn_volume,lvn_raw_volume,pct_of_max,depth_pct,pct_of_total,within_value_area,distance_to_poc,poc_price,value_area_low,value_area_high,lvn_rank,leg_pattern,leg_direction,leg_return_pct,leg_bars,leg_duration_sec
minute,6595,2024-10-18 16:05:00+00:00,2024-10-18 16:15:00+00:00,0.0020000000000003127,68.81499999999986,10.679999999975717,10.679999999975717,0.37473684210526687,0.6252631578947332,0.012759856630807968,True,0.009999999999990905,68.80499999999986,68.76299999999998,68.81499999999986,1,LH->LL,downtrend,-0.1597444089456834,10,600.0
minute,6623,2024-10-20 21:33:00+00:00,2024-10-20 21:49:00+00:00,0.0020000000000003127,68.71499999999972,6.166666666652061,6.166666666652061,0.28505392912171656,0.7149460708782834,0.0055256869772908595,True,0.04999999999989768,68.66499999999982,68.64099999999988,68.78899999999953,1,LH->LL,downtrend,-0.4499274310595047,16,960.0
minute,6636,2024-10-20 23:13:00+00:00,2024-10-20 23:26:00+00:00,0.0015000000000000568,69.01274999999937,3.137499999985431,3.137499999985431,0.2392755004766559,0.7607244995233441,0.0056617179892772705,True,0.02999999999985903,68.98274999999951,68.96024999999962,69.05774999999916,1,HL->HH,uptrend,0.2758420441347331,13,780.0
minute,6646,2024-10-21 02:21:00+00:00,2024-10-21 02:33:00+00:00,0.000999999999999801,69.03150000000029,2.0500000000093612,2.0500000000093612,0.257214554579671,0.742785445420329,0.005125000000021547,True,0.030000000000143245,69.00150000000015,68.99950000000014,69.06450000000045,1,HL->HH,uptrend,0.2029868058576189,12,720.0
minute,6650,2024-10-21 02:51:00+00:00,2024-10-21 03:01:00+00:00,0.0015000000000000568,69.12725000000023,6.800000000032556,6.800000000032556,0.40177252584947826,0.5982274741505218,0.008947368421091825,True,0.006000000000028649,69.13325000000026,69.08975000000004,69.16925000000043,1,HL->HH,uptrend,0.2171395483497429,10,600.0
minute,6893,2024-10-21 16:41:00+00:00,2024-10-21 16:59:00+00:00,0.0010000000000005115,69.78150000000015,5.040476190500355,5.040476190500355,0.2941912173431064,0.7058087826568936,0.005390883626202246,True,0.08000000000038199,69.86150000000053,69.77950000000014,69.87950000000062,1,LH->LL,downtrend,-0.1860331997710296,18,1080.0
minute,7509,2024-10-23 14:34:00+00:00,2024-10-23 14:44:00+00:00,0.0015000000000000568,70.79724999999964,10.924999999949474,10.924999999949474,0.33771251931996493,0.6622874806800351,0.0116425014948547,True,0.005999999999971806,70.80324999999961,70.76874999999977,70.83024999999948,1,LH->LL,downtrend,-0.1975726785210296,10,600.0
minute,7827,2024-10-24 21:36:00+00:00,2024-10-24 22:06:00+00:00,0.0010000000000005115,70.36750000000022,8.270000000039353,8.270000000039353,0.47392550143243617,0.5260744985675638,0.007831439393975645,True,0.004000000000019099,70.37150000000024,70.3205,70.45250000000063,1,LH->LL,downtrend,-0.326009922041115,30,1800.0
minute,7840,2024-10-25 02:37:00+00:00,2024-10-25 02:51:00+00:00,0.0015000000000000568,70.51324999999962,3.8999999999815254,3.8999999999815254,0.34135667396068275,0.6586433260393172,0.00732686479814325,True,0.01949999999990837,70.49374999999971,70.46074999999986,70.55074999999944,1,HL->HH,uptrend,0.2271759193525513,14,840.0
minute,8118,2024-10-27 19:45:00+00:00,2024-10-27 20:03:00+00:00,0.000999999999999801,68.78150000000025,5.4466666666918115,5.4466666666918115,0.3092939617640517,0.6907060382359482,0.005715285064729376,True,0.020000000000095497,68.76150000000015,68.7495000000001,68.80950000000038,1,HL->HH,uptrend,0.1454968718172411,18,1080.0
minute,8152,2024-10-27 23:00:00+00:00,2024-10-27 23:30:00+00:00,0.0005000000000002558,68.48875000000012,8.595833333380103,8.595833333380103,0.48461357763736235,0.5153864223626377,0.007520414114941593,True,0.0020000000000095497,68.49075000000013,68.48075000000009,68.51275000000024,1,HL->HH,uptrend,0.2191060473269113,30,1800.0
minute,8171,2024-10-28 02:52:00+00:00,2024-10-28 03:03:00+00:00,0.001999999999999602,68.63499999999982,14.883333333299088,14.883333333299088,0.4969393433500247,0.5030606566499753,0.010945728959375893,True,0.009999999999962483,68.62499999999986,68.56899999999999,68.65499999999977,1,LH->LL,downtrend,-0.2473446820893343,11,660.0
minute,8510,2024-10-28 15:45:00+00:00,2024-10-28 16:00:00+00:00,0.001999999999999602,67.86499999999978,31.433333333258883,31.433333333258883,0.3807639505773592,0.6192360494226408,0.009774277997561127,True,0.01999999999995339,67.84499999999983,67.78899999999996,67.90899999999968,1,HL->HH,uptrend,0.3688947912055429,15,900.0
minute,8523,2024-10-28 21:02:00+00:00,2024-10-28 21:58:00+00:00,0.000999999999999801,67.66750000000023,11.500000000053495,11.500000000053495,0.32724685795575587,0.6727531420442441,0.005175517551778621,True,0.014000000000066848,67.6815000000003,67.66450000000022,67.71950000000048,1,LH->LL,downtrend,-0.2948982601002514,56,3360.0
minute,8533,2024-10-29 00:10:00+00:00,2024-10-29 01:30:00+00:00,0.0004999999999995453,67.45075000000043,6.883333333371979,6.883333333371979,0.4361140443510995,0.5638859556489004,0.0056190476190787954,True,0.010000000000047748,67.44075000000038,67.41625000000028,67.45925000000048,1,LH->LL,downtrend,-0.1778304682869103,78,4800.0
minute,8535,2024-10-29 01:32:00+00:00,2024-10-29 01:43:00+00:00,0.0012500000000002843,67.3681249999999,3.5999999999969305,3.5999999999969305,0.3015706806283861,0.6984293193716139,0.005529953917047703,True,0.014999999999986358,67.3831249999999,67.31312499999996,67.40062499999988,1,LH->LL,downtrend,-0.2520759193357036,11,660.0
minute,8860,2024-10-29 15:53:00+00:00,2024-10-29 16:30:00+00:00,0.000999999999999801,67.31150000000058,13.543333333399472,13.543333333399472,0.37943593574903456,0.6205640642509654,0.005089565326341826,True,0.010000000000047748,67.30150000000053,67.24150000000024,67.37050000000086,1,HL->HH,uptrend,0.3571960113112116,37,2220.0
minute,8862,2024-10-29 16:31:00+00:00,2024-10-29 16:46:00+00:00,0.0015000000000000568,67.43674999999969,8.999999999959499,8.999999999959499,0.28335301062575396,0.716646989374246,0.00575447570331516,True,0.005999999999971806,67.44274999999966,67.39924999999987,67.50424999999937,1,HL->HH,uptrend,0.2671812379397176,15,900.0
minute,9205,2024-10-31 03:07:00+00:00,2024-10-31 03:32:00+00:00,0.0010000000000005115,68.85150000000048,7.393333333367645,7.393333333367645,0.4279374879411759,0.5720625120588241,0.005785080855529197,True,0.010000000000047748,68.84150000000044,68.7505,68.90250000000073,1,LH->LL,downtrend,-0.3478765038411269,25,1500.0
minute,9543,2024-10-31 20:37:00+00:00,2024-10-31 20:49:00+00:00,0.0015000000000000568,70.56674999999954,3.8749999999822657,3.8749999999822657,0.45722713864310766,0.5427728613568923,0.007495164410062663,True,0.005999999999971806,70.57274999999952,70.48874999999991,70.59974999999939,1,LH->LL,downtrend,-0.2971137521222577,12,720.0
